Gemeentecode,Solvabiliteit,Netto schuldquote (correctie),Belastingcapaciteit,Grondexploitatie,Structurele exploitatieruimte,Verslagsoort,Jaar,CombinedKey,Netto schuldquote
Aa en Hunze,0.37,0.22,0.73,0.0,0.0,2023X000,2023-01-01,Aa en Hunze-2023X000,"0,23"
Aa en Hunze,0.36,0.35,0.71,0.0,0.02,2024X000,2024-01-01,Aa en Hunze-2024X000,"0,37"
Aa en Hunze,0.37,0.35,0.73,0.0,0.0,2025X000,2025-01-01,Aa en Hunze-2025X000,"0,36"
Aalsmeer,0.44,0.55,1.04,0.0,0.002,2023X000,2023-01-01,Aalsmeer-2023X000,"0,57"
Achtkarspelen,0.245,0.625,1.13,0.0,-0.016,2022X000,2022-01-01,Achtkarspelen-2022X000,"0,663"
Achtkarspelen,0.295,0.353,0.976,0.0,0.013000000000000001,2024X000,2024-01-01,Achtkarspelen-2024X000,"0,353"
Achtkarspelen,0.28,0.408,0.998,0.0,-0.017,2025X000,2025-01-01,Achtkarspelen-2025X000,"0,408"
Alblasserdam,0.33,0.72,1.022,0.0,0.02,2022X000,2022-01-01,Alblasserdam-2022X000,"0,76"
Alblasserdam,0.29,0.92,1.026,0.0,0.025,2023X000,2023-01-01,Alblasserdam-2023X000,"0,94"
Alblasserdam,0.26,0.74,1.045,0.0,0.009000000000000001,2024X000,2024-01-01,Alblasserdam-2024X000,"0,78"
Alblasserdam,0.21,1.01,1.077,0.0,0.001,2025X000,2025-01-01,Alblasserdam-2025X000,"1,05"
Alphen aan den Rijn,0.469,0.389,,0.0,0.006,2023X000,2023-01-01,Alphen aan den Rijn-2023X000,"0,5"
Ameland,0.19,1.0,0.99,0.0,-0.02,2025X000,2025-01-01,Ameland-2025X000,"1,01"
Amstelveen,0.71,-0.04,1.02,0.0,-0.01,2021X000,2021-01-01,Amstelveen-2021X000,"-0,04"
Baarle-Nassau,0.6,0.3,0.88,0.0,0.0,2020X000,2020-01-01,Baarle-Nassau-2020X000,"0,31"
Baarle-Nassau,0.41,0.36,0.98,0.0,0.0,2024X000,2024-01-01,Baarle-Nassau-2024X000,"0,37"
Baarle-Nassau,0.4,0.31,1.01,0.0,0.01,2025X000,2025-01-01,Baarle-Nassau-2025X000,"0,31"
Baarn,0.24,0.51,1.24,0.0,0.02,2021X000,2021-01-01,Baarn-2021X000,"0,52"
Baarn,0.24,0.53,,0.0,0.02,2022X000,2022-01-01,Baarn-2022X000,"0,54"
Baarn,0.262,0.537,1.368,0.0,0.04,2023X000,2023-01-01,Baarn-2023X000,"0,554"
Baarn,0.21,0.47700000000000004,1.38,0.0,0.03,2024X000,2024-01-01,Baarn-2024X000,"0,477"
Baarn,0.253,0.408,1.42,0.0,0.019,2025X000,2025-01-01,Baarn-2025X000,"0,41"
Beek,0.5429999999999999,-0.154,1.0290000000000001,0.0,-0.018000000000000002,2020X000,2020-01-01,Beek-2020X000,"-0,18"
Beek,0.485,-0.052000000000000005,1.037,0.0,-0.01,2021X000,2021-01-01,Beek-2021X000,"0,086"
